中文名稱,ENGLISH NAME,中文地址,ENGLISH ADDRESS,EASTING,NORTHING,DISTRICT,地區
石硤尾公園,Shek Kip Mei Park,九龍深水?石硤尾南昌街270號,"270 Nam Cheong Street, Shek Kip Mei, Sham Shui Po, Kowloon",835662.1,822166.1,SHAM SHUI PO,深水?
荔枝角公園體育館,Lai Chi Kok Park Sports Centre,九龍荔枝角荔灣道1 號地下及1樓,"G-1/F, 1 Lai Wan Road, Lai Chi Kok, Kowloon",832285,822403,SHAM SHUI PO,深水?
鴨?洲風之塔公園,Ap Lei Chau Wind Tower Park,香港鴨?洲利枝道,"Lei Chi Road, Ap Lei Chau, Hong Kong",833703.4,811834.4,SOUTHERN,南區
大角咀公共圖書館,Tai Kok Tsui Public Library,九龍大角咀福全街63號大角咀市政大?3樓,"3/F, Tai Kok Tsui Municipal Services Building, 63 Fuk Tsun Street, Tai Kok Tsui, Kowloon",834817,820319,YAU TSIM MONG,油尖旺
油麻地母嬰健康院,Yaumatei Maternal and Child Health Centre,九龍油麻地炮台街143號油麻地專科診所新翼6字樓,"6/F, Yau Ma Tei Specialist Clinic Extension, 143 Battery Street, Yau Ma Tei, Kowloon",835471.5,818921.7,YAU TSIM MONG,油尖旺
九龍寨城公園,Kowloon Walled City Park,九龍九龍城東正道,"Tung Tsing Road, Kowloon City, Kowloon",837662.7,821442.7,KOWLOON CITY,九龍城
灣仔胸肺科診所,Wanchai Chest Clinic,香港灣仔堅尼地道99號灣仔分科診所1樓,"1/F, Wanchai Polyclinic, 99 Kennedy Road, Wan Chai, Hong Kong",836057.2,814973.8,WAN CHAI,灣仔
茜草灣鄰里社區中心,Sai Tso Wan Neighbourhood Community Centre,九龍觀塘茶果嶺道81號,"81 Cha Kwo Ling Road, Kwun Tong, Kowloon",841616.5,818691.7,KWUN TONG,觀塘
恒安體育館,Heng On Sports Centre,新界沙田馬鞍山恒安?恒安商場4樓,"4/F, Heng On Commercial Centre, Heng On Estate, Ma On Shan, New Territories",841518,830818,SHA TIN,沙田
稅務局-商業登記署,Inland Revenue Department - Business Registration Office,香港灣仔告士打道5號稅務大樓4樓,"4/F, Revenue Tower,5 Gloucester Road,Wanchai, Hong Kong",835749,815637,WAN CHAI,灣仔
入境事務及人事登記 - 火炭辦事處,Immigration and Registration of Persons - Fo Tan Office,新界火炭樂景街2至18號銀禧薈4樓405及406號鋪位,"Shops 405 & 406, 4/F, Jubilee Square, 2-18 Lok King Street, Fo Tan, New Territories",838612,828572,SHA TIN,沙田
坑口社區會堂,Hang Hau Community Hall,新界將軍澳坑口培成路38號西貢將軍澳政府綜合大樓地下,"G/F, Sai Kung Tseung Kwan O Government Complex, 38 Pui Shing Road, Hang Hau, Tseung Kwan O, New Territories",845688.9,819812.4,SAI KUNG,西貢
香港單車館,Hong Kong Velodrome,新界將軍澳寶康路105-107號,"105-107, Po Hong Road, Tseung Kwan O, New Territories",845087,819340.9,SAI KUNG,西貢
大埔社區中心,Tai Po Community Centre,新界大埔鄉事會街2號地下,"G/F, 2 Heung Sze Wui Street, Tai Po, New Territories",835147,834150,TAI PO,大埔
駱克道街市熟食中心,Lockhart Road Market Cooked Food Centre,香港灣仔駱克道225號2樓,"2/F, 225 Lockhart Road, Wan Chai, Hong Kong",836118,815468,WAN CHAI,灣仔
鴨?洲社區會堂,Ap Lei Chau Community Hall,香港鴨?洲鴨?洲?鴨?洲社區會堂地下,"G/F, Ap Lei Chau Community Hall, Ap Lei Chau Estate, Ap Lei Chau, Hong Kong",833519,811816,SOUTHERN,南區
西九龍法院大樓,West Kowloon Law Court Building,九龍深水?通州街501號,"501 Tung Chau Street, Sham Shui Po, Kowloon",833828.6,821348.8,SHAM SHUI PO,深水?
運輸署九龍灣驗車中心,"Kowloon Bay Vehicle Examination Centre, Transport Department",九龍九龍灣祥業街2號地下,"G/F, 2 Cheung Yip Street, Kowloon Bay, Kowloon",839917.7,819849,KWUN TONG,觀塘
長沙灣皮膚科診所,Cheung Sha Wan Dermatological Clinic,九龍深水?長沙灣道303號長沙灣政府合署西九龍健康中心3樓,"3/F, West Kowloon Health Centre, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Sham Shui Po, Kowloon",834572,821417.8,SHAM SHUI PO,深水?
沙咀道遊樂場,Sha Tsui Road Playground,新界荃灣沙咀道171-199號,"171-199 Sha Tsui Road, Tsuen Wan, New Territories",829736,825877.7,TSUEN WAN,荃灣
荃灣民政事務處 - 諮詢服務中心,Tsuen Wan District Office - Public Enquiry Service Centre,新界荃灣青山公路荃灣段174-208號荃灣多層停車場大廈1樓,"1/F, Tsuen Wan Multi-storey Carpark Building, 174-208 Castle Peak Road, Tsuen Wan, New Territories",830270,825917,TSUEN WAN,荃灣
華貴社區中心,Wah Kwai Community Centre,香港奇力灣華貴?地下,"G/F, Wah Kwai Estate, Kellett Bay, Hong Kong",832264,812378,SOUTHERN,南區
長發體育館,Cheung Fat Sports Centre,新界青衣長發?長發商場4樓,"4/F, Cheung Fat Shopping Centre, Cheung Fat Estate, Tsing Yi, New Territories",828665,824811,KWAI TSING,葵青
高等法院,High Court,香港金鐘道38號,"38 Queensway, Admiralty, Hong Kong",834867.2,815504.4,CENTRAL AND WESTERN,中西區
王少清母嬰健康院,Wong Siu Ching Maternal and Child Health Centre,新界大埔寶湖里1號,"No.1 Po Wu Lane, Tai Po, New Territories",835364.3,834511.1,TAI PO,大埔
和興社區會堂,Wo Hing Community Hall,新界粉嶺和鳴里7號地下,"G/F, 7 Wo Ming Lane, Fanling, New Territories",832736,838388.5,NORTH POINT,北區
沙田民政事務處馬鞍山分處,"Ma On Shan Sub-Office, Sha Tin District Office",新界沙田馬鞍山鞍祿街18號新港城第4期地下第1號鋪,"Shop No. 1, G/F, Sunshine City Phase 4 18 On Luk Street, Ma On Shan, Sha Tin, New Territories",841895,831660.4,SHA TIN,沙田
佛光街體育館,Fat Kwong Street Sports Centre,九龍何文田牧愛街18號9至10樓,"9-10/F, 18, Good Shepherd Street, Ho Man Tin, Kowloon",836704,819538,KOWLOON CITY,九龍城
上環文娛中心,Sheung Wan Civic Centre,香港皇后大道中345號上環市政大廈五樓,"5/F Sheung Wan Municipal Services Building, 345 Queen’s Road Central, Hong Kong",833486,816370.6,CENTRAL AND WESTERN,中西區
東頭社區中心,Tung Tau Community Centre,九龍黃大仙樂善道 26 號,"26 Lok Sin Road, Wong Tai Sin, Kowloon",837981.8,821436.3,WONG TAI SIN,黃大仙
保榮路體育館,Po Wing Road Sports Centre,新界上水百和路19號,"19 Pak Wo Road, Sheung Shui, New Territories",831280,839708,NORTH,北區
長沙灣熟食市場,Cheung Sha Wan Cooked Food Market,九龍長沙灣長順街38號,"38 Cheung Shun Street, Cheung Sha Wan, Kowloon",833037.1,821887,SHAM SHUI PO,深水?
大埔體育館,Tai Po Sports Centre,新界大埔汀太路13號地下及1樓,"G/F & 1/F, No. 13 Ting Tai Road, Tai Po, New Territories",835035,835097,TAI PO,大埔
入境事務處 - 延期逗留組,Immigration - Extension Section,香港灣仔告士打道7號入境事務大樓5樓,"5/F, Immigration Tower, 7 Gloucester Road, Wan Chai, Hong Kong",835869,815639,WAN CHAI,灣仔
龍興公共圖書館,Lung Hing Public Library,九龍黃大仙下?(二區)龍興樓地下北翼,"North Wing, G/F, Lung Hing House, Lower Wong Tai Sin Estate (II), Kowloon",837910,822375,WONG TAI SIN,黃大仙
沙田法院大樓,Shatin Law Courts Building,新界沙田宜正里1號,"1 Yi Ching Lane, Shatin, New Territories",837524.3,826752.5,SHA TIN,沙田
東涌母嬰健康院,Tung Chung Maternal and Child Health Centre,新界大嶼山東涌富東街6號東涌健康中心地下,"G/F, Tung Chung Health Centre, 6 Fu Tung Street, Tung Chung, New Territories",812177.3,816638.2,ISLANDS,離島
天水圍北公共圖書館,Tin Shui Wai North Public Library,新界天水圍天澤?天澤商場3樓,"3/F, Tin Chak Shopping Centre, Tin Chak Estate, Tin Shui Wai, New Territories",817927,836557,YUEN LONG,元朗
機場核心計劃展覽中心,Airport Core Programme Exhibition Centre,新界荃灣青山公路401號,"401 Castle Peak Road, Tsuen Wan, New Territories",825294,825001,TSUEN WAN,荃灣
青衣西南體育館,Tsing Yi Southwest Sports Centre,新界青衣涌美路70號,"70 Chung Mei Road, Tsing Yi, New Territories",828566,823596.8,KWAI TSING,葵青
飲食業招聘中心及零售業招聘中心,Recruitment Centres for the Catering and Retail Industry,香港灣仔告士打道5號稅務大樓地下,"G/F, 5 Gloucester Road, Revenue Tower, Wan Chai, Hong Kong",835748.2,815657.1,WAN CHAI,灣仔
龍逸社區會堂,Lung Yat Community Hall,新界屯門業旺路106號,"106 Yip Wong Road, Tuen Mun, New Territories",814769.6,827467.4,TUEN MUN,屯門
法律援助署總部,Legal Aid Department Headquarters,香港金鐘道66號金鐘道政府合署25樓,"25/F, Queensway Government Offices, 66 Queensway, Hong Kong",834958,815469,CENTRAL AND WESTERN,中西區
天水圍體育館,Tin Shui Wai Sports Centre,新界元朗天水圍天柏路1號地下,"G/F, 1 Tin Pak Road, Tin Shui Wai, Yuen Long, New Territories",818736,835071,YUEN LONG,元朗
田灣街市熟食中心,Tin Wan Market Cooked Food Centre,香港香港仔興和街11號2樓,"2/F, 11 Hing Wo Street, Aberdeen, Hong Kong",833314,812376,SOUTHERN,南區
公司註冊處,Companies Registry,香港金鐘道66號 金鐘道政府合署14樓,"14/F, Queensway Government Offices,66 Queensway, Hong Kong",834922.9,815428.9,CENTRAL AND WESTERN,中西區
運輸署九龍牌照事務處,"Kowloon Licensing Office, Transport Department",九龍長沙灣道303號長沙灣政府合署2樓,"2/F, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Kowloon",834557,821410,SHAM SHUI PO,深水?
西九龍就業中心,Kowloon West Job Centre,九龍長沙灣道303號長沙灣政府合署9樓,"9/F, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Kowloon",834557,821410,SHAM SHUI PO,深水?
天水圍母嬰健康院,Tin Shui Wai Maternal and Child Health Centre,新界天水圍天瑞路3號天水圍健康中心1樓,"1/F, Tin Shui Wai Health Centre, 3 Tin Shui Road, Tin Shui Wai, New Territories",818210.5,835019.7,YUEN LONG,元朗
元朗公園,Yuen Long Park,新界元朗公園北路,"Town Park Road North, Yuen Long, New Territories",820011.7,833685.6,YUEN LONG,元朗
聯和墟體育館,Luen Wo Hui Sports Centre,新界粉嶺聯和墟和滿街9號3樓,"3/F, 9 Wo Mun Street, Luen Wo Hui, Fanling, New Territories",832959.5,840057.1,NORTH,北區
大澳公共圖書館,Tai O Public Library,新界大嶼山大澳龍田?商業中心12號舖,"Shop No. 12, Commercial Centre, Lung Tin Estate, Tai O, Lantau Island, New Territories",804166,812792,ISLANDS,離島
竹園體育館,Chuk Yuen Sports Centre,九龍黃大仙竹園道竹園北?2樓,"2/F, Chuk Yuen North Estate, Chuk Yuen Road, Wong Tai Sin, Kowloon",837982,822937,WONG TAI SIN,黃大仙
曉光街體育館,Hiu Kwong Street Sports Centre,九龍觀塘曉光街2號地下,"G/F, 2 Hiu Kwong Street, Kwun Tong, Kowloon",841504,820089,KWUN TONG,觀塘
屋宇署 - 樓宇資訊中心,Building Information Centre of Buildings Department,九龍旺角彌敦道750號始創中心13樓,"13/F, Pioneer Centre, 750 Nathan Road, Kowloon",835459,820417,YAU TSIM MONG,油尖旺
坑口體育館,Hang Hau Sports Centre,新界將軍澳培成路38號西貢將軍澳政府綜合大樓1至3樓,"1-3/F, Sai Kung Tseung Kwan O Government Complex, 38 Pui Shing Road, Tseung Kwan O, New Territories.",845675,819801.8,SAI KUNG,西貢
口腔健康教育組,Oral Health Education Unit,九龍亞皆老街147號 J 亞皆老街賽馬會學童牙科診所4樓,"4/F, Argyle Street Jockey Club School Dental Clinic, 147J Argyle Street, Kowloon",836995.5,820661.5,KOWLOON CITY,九龍城
觀塘就業中心,Kwun Tong Job Centre,九龍觀塘鯉魚門道12號東九龍政府合署10樓,"10/F, Kowloon East Government Offices, 12 Lei Yue Mun Road, Kwun Tong, Kowloon",841725,818954,KWUN TONG,觀塘
順利?公共圖書館,Shun Lee Estate Public Library,九龍觀塘順利?道順利?體育館3樓,"3/F, Shun Lee Tsuen Sports Centre, Shun Lee Tsuen Road, Kwun Tong, Kowloon",841271,821184,KWUN TONG,觀塘
修頓遊樂場,Southorn Playground,香港灣仔莊士敦道111號,"111, Johnston Road, Wan Chai, Hong Kong",835750.8,815346,WAN CHAI,灣仔
柏立基母嬰健康院,Robert Black Maternal and Child Health Centre,九龍新蒲崗太子道東600號柏立基健康院1樓,"Robert Black Health Centre, 1/F, 600 Prince Edward Road East, San Po Kong, Kowloon",838195.4,821487,WONG TAI SIN,黃大仙
摩士3號公園,Morse Park No. 3,九龍黃大仙鳳舞街40號地下,"G/F, 40 Fung Mo Street, Wong Tai Sin, Kowloon",837678.7,822221.6,WONG TAI SIN,黃大仙
樂華社區中心,Lok Wah Estate Community Centre,九龍觀塘樂華?振華道80號,"80 Chun Wah Road, Lok Wah Estate, Kwun Tong, Kowloon",840972,820169,KWUN TONG,觀塘
秀茂坪公共圖書館,Sau Mau Ping Public Library,九龍秀茂坪?秀明樓104至109號地下,"Units No. 104-109, G/F, Sau Ming House, Sau Mau Ping Estate, Kowloon",842119,819635,KWUN TONG,觀塘
粉嶺綜合治療中心 (社會?生科),Fanling Integrated Treatment Centre (SHS),新界粉嶺璧峰路2號粉嶺健康中心6樓,"6/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, New Territories",832357.7,839663.4,NORTH,北區
勞資審裁處,Labour Tribunal,九龍油麻地加士居道36號,"36 Gascoigne Road, Yau Ma Tei, Kowloon",835870,818771.7,YAU TSIM MONG,油尖旺
蕙荃體育館,Wai Tsuen Sports Centre,新界荃灣廟崗街6號地下及2樓,"G/F & 2/F, 6 Miu Kong Street, Tsuen Wan, New Territories",830667,825905,TSUEN WAN,荃灣
石圍角社區會堂,Shek Wai Kok Community Hall,新界荃灣石圍角?,"Shek Wai Kok Estate, Tsuen Wan, New Territories",830826,826125,TSUEN WAN,荃灣
觀塘海濱花園,Kwun Tong Promenade,九龍觀塘海濱道80號,"No. 80 Hui Bun Road, Kwun Tong, Kowloon",840599.9,819004,KWUN TONG,觀塘
油麻地男性社會?生科診所,Yau Ma Tei Male Social Hygiene Clinic,九龍油麻地炮台街145號油麻地賽馬會分科診療所4樓,"4/F, Yau Ma Tei Jockey Club Polyclinic, 145 Battery Street, Yau Ma Tei, Kowloon",835484,818955.4,YAU TSIM MONG,油尖旺
淺水灣泳灘,Repulse Bay Beach,香港淺水灣海灘道,"Beach Road, Repulse Bay, Hong Kong",838287.1,810888.3,SOUTHERN,南區
藍田學生健康服務中心/健康評估中心,Lam Tin Student Health Service Centre/Special Assessment Centre,九龍觀塘?田道99號藍田分科診所5樓,"5/F, Lam Tin Polyclinic, 99 Kai Tin Road, Kwun Tong, Kowloon",842086.4,819066.8,KWUN TONG,觀塘
灣仔法院,Wanchai Law Courts,香港灣仔港灣道12號灣仔政府大樓,"Wanchai Tower, 12 Harbour Road, Wan Chai, Hong Kong",835808.1,815695.9,WAN CHAI,灣仔
荔枝角社區會堂,Lai Chi Kok Community Hall,九龍深水?荔枝角道863號地下(深盛路入口),"G/F, No. 863 Lai Chi Kok Road, Sham Shui Po, Kowloon (entrance facing Sham Shing Road)",833256.5,821653.1,SHAM SHUI PO,深水?
城市藝坊,City Art Square,新界沙田源禾路一號,"1 Yuen Wo Road, Sha Tin, New Terriotries",837470.1,826825.6,SHA TIN,沙田
仁愛母嬰健康院,Yan Oi Maternal and Child Health Centre,新界屯門屯利街6號仁愛分科診所1樓,"1/F, Yan Oi Polyclinic, 6 Tuen Lee Street, Tuen Mun, New Territories",815906.5,828011.3,TUEN MUN,屯門
九龍灣 學生健康服務中心,Kowloon Bay Student Health Service Centre,九龍九龍灣啟仁道9號九龍灣健康中心7樓,"7/F Kowloon Bay Health Centre, 9 Kai Yan Street, Kowloon Bay, Kowloon",839378.2,821065.7,KWUN TONG,觀塘
沙田學生健康服務中心,Sha Tin Student Health Service Centre,新界沙田大圍文禮路2號沙田(大圍)診所1樓,"1/F, Sha Tin (Tai Wai) Clinic, 2 Man Lai Road, Tai Wai, Sha Tin, New Territories",837010.6,826479.5,SHA TIN,沙田
茶具文物館,Flagstaff House Museum of Tea Ware,香港中區紅棉路10號(香港公園內),"10 Cotton Tree Drive, Central, Hong Kong (inside Hong Kong Park)",834785.1,815518.7,CENTRAL AND WESTERN,中西區
屋宇署 - 小型工程及招牌監管組,Minor Work and Signboards Control Unit - Buildings Department,九龍觀塘巧明街100號九龍友邦大廈11樓1102-06室,"Room 1102-06, 11/F, AIA Kowloon Tower, 100 How Ming Street, Kwun Tong, Kowloon",840956.8,819282.6,KWUN TONG,觀塘
黃竹坑體育館,Wong Chuk Hang Sports Centre,香港黃竹坑道168號,"168 Wong Chuk Hang Road, Hong Kong",835896.1,812321.7,SOUTHERN,南區
瑞和街公共圖書館,Shui Wo Street Public Library,九龍觀塘瑞和街9號瑞和街市政大樓5至6樓,"5-6/F, Shui Wo Street Municipal Services Building, 9 Shui Wo Street, Kwun Tong, Kowloon",841152,819631,KWUN TONG,觀塘
調景嶺公共圖書館,Tiu Keng Leng Public Library,新界將軍澳翠嶺路4號,"4 Chui Ling Road, Tseung Kwan O, New Territories",844249.7,818609.8,SAI KUNG,西貢
荔枝角公共圖書館,Lai Chi Kok Public Library,九龍荔枝角荔灣道19號地下至1樓,"G/F-1/F, 19 Lai Wan Road, Lai Chi Kok, Kowloon",832313,822343,SHAM SHUI PO,深水?
九龍城公共圖書館,Kowloon City Public Library,九龍衙前圍道100號九龍城市政大廈3樓,"3/F, Kowloon City Municipal Services Building, 100 Nga Tsin Wai Road, Kowloon",837506,821178,KOWLOON CITY,九龍城
土瓜灣政府合署,To Kwa Wan Market and Government Offices,九龍土瓜灣馬頭圍道165號地下,"G/F, 165 Ma Tau Wai Road, To Kwa Wan, Kowloon",837413,819794,KOWLOON CITY,九龍城
朗屏社區會堂,Long Ping Community Hall,新界元朗朗屏?朗屏社區會堂地下,"G/F, Long Ping Community Hall, Long Ping Estate, Yuen Long, New Territories",820477,834395,YUEN LONG,元朗
南葵涌母嬰健康院,South Kwai Chung Maternal and Child Health Centre,新界葵涌葵盛圍310號南葵涌分科診療所1樓,"1/F, South Kwai Chung Jockey Club Polyclinic, 310 Kwai Shing Circuit, Kwai Chung, New Territories",830963.1,824627.9,KWAI TSING,葵青
小西灣圖書館,Siu Sai Wan Public Library,香港柴灣小西灣道15號小西灣綜合大樓地下,"G/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Chai Wan, Hong Kong",843759,813864,EASTERN,東區
?魚涌體育館,Quarry Bay Sports Centre,香港?魚涌?魚涌街38號?魚涌市政大廈6樓及7樓,"6/F & 7/F, Quarry Bay Municipal Services Building, 38 Quarry Bay Street, Quarry Bay, Hong Kong",839866,816090,EASTERN,東區
北葵涌鄧肇堅體育館,North Kwai Chung Tang Shiu Kin Sports Centre,新界葵涌和宜合路292號地下及1樓,"G/F, 1/F, 292 Wo Yi Hop Road, Kwai Chung, New Territories",832216,826055,KWAI TSING,葵青
西灣河體育館,Sai Wan Ho Sports Centre,香港西灣河筲箕灣道111號2樓,"2/F, 111 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",841008.5,815928.8,EASTERN,東區
順利社區中心,Shun Lee Estate Community Centre,九龍順利?順緻街2號地下,"G/F, 2 Shun Chi Street, Shun Lee Estate, Kowloon",841459,821393,KWUN TONG,觀塘
香港旅遊發展局 - 九龍旅客諮詢中心,Hong Kong Tourism Board - Kowloon Visitor Centre,九龍尖沙咀天星碼頭,"Star Ferry Concourse, Tsim Sha Tsui, Kowloon",835416.6,817209.6,YAU TSIM MONG,油尖旺
彩霞道休憩處,Choi Ha Road Sitting-out Area,九龍牛頭角彩霞道3號,"3 Choi Ha Road, Ngau Tau Kok, Kowloon",840433.8,820480.5,KWUN TONG,觀塘
大興體育館,Tai Hing Sports Centre,新界屯門青松觀路38號,"38 Tsing Chung Koon Road, Tuen Mun, New Territories",815295,829334,TUEN MUN,屯門
隆亨社區中心,Lung Hang Estate Community Centre,新界沙田隆亨?,"Lung Hang Estate, Sha Tin, New Territories",836551,825389,SHA TIN,沙田
新界公務員診所,New Territories Families Clinic,新界荃灣青山公路115號葛量洪夫人健康院地下,"G/F & 1/F, Maurine Grantham Health Centre, 115 Castle Peak Road, Tsuen Wan, New Territories",830391.3,825701.4,TSUEN WAN,荃灣
赤柱社區會堂,Stanley Community Hall,香港赤柱市場道6號赤柱市政大樓地面下層,"LG/F, Stanley Municipal Services Building, 6 Stanley Market Road, Hong Kong",839911.5,808944.3,SOUTHERN,南區
瑞和街體育館,Shui Wo Street Sports Centre,九龍觀塘瑞和街9號瑞和街市政大廈8樓,"8/F, Shui Wo Street Municipal Services Building, 9 Shui Wo Street, Kwun Tong, Kowloon",841152,819631,KWUN TONG,觀塘
牛頭角家庭醫學深造培訓中心,Ngau Tau Kok Education and Training Centre in Family Medicine,九龍牛頭角定安街60號牛頭角賽馬會診所2樓,"2/F Ngau Tau Kok Jockey Club Clinic, 60 Ting On Street, Ngau Tau Kok, Kowloon",840398.7,819785,KWUN TONG,觀塘
歌和老街壁球及乒乓球中心,Cornwall Street Squash and Table Tennis Centre,九龍九龍塘歌和老街17號地下,"G/F, 17 Cornwall Street, Kowloon Tong, Kowloon",835840,822235,SHAM SHUI PO,深水?
楓樹窩體育館,Fung Shue Wo Sports Centre,新界青衣青衣?第2期楓樹窩路10號1樓,"1/F, 10 Fung Shue Wo Road, Tsing Yi Estate, Phase II, Tsing Yi, New Territories",828629,824045,KWAI TSING,葵青
赤柱正灘泳灘,Stanley Main Beach,香港赤柱赤柱灘道,"Stanley Beach Road, Stanley, Hong Kong",840098.6,809175.3,SOUTHERN,南區
利東社區會堂,Lei Tung Community Hall,香港鴨?洲利東?利東社區會堂地下及1樓,"G/F & 1/F, Lei Tung Community Hall, Lei Tung Estate, Ap Lei Chau, Hong Kong",833971,811438,SOUTHERN,南區
秦石社區會堂,Chun Shek Community Hall,新界沙田盛田街1號秦石商場地下,"G/F, Chun Shek Shopping Centre, No. 1 Shing tin Street, Sha Tin, New Territories",837305.6,826021,SHA TIN,沙田
油尖旺民政事務處 - 諮詢服務中心,Yau Tsim Mong District Office - Public Enquiry Service Centre,九?旺角?運街30號旺角政府合署地下,"G/F, Mong Kok Government Offices, 30 Luen Wan Street, Mong Kok, Kowloon",835830,820261,YAU TSIM MONG,油尖旺
保安道體育館,Po On Road Sports Centre,九龍深水?保安道325-329號保安道市政大廈1樓及2樓,"1/F, 2/F, Po On Road Municipal Services Building, 325-329 Po On Road, Sham Shui Po, Kowloon",834286.1,822175.3,SHAM SHUI PO,深水?
龍琛路體育館,Lung Sum Avenue Sports Centre,新界上水馬會道155號地下,"G/F, 155 Jockey Club Road, Sheung Shui, New Territories",831491,840595,NORTH,北區
柴灣體育館,Chai Wan Sports Centre,香港柴灣怡順街6號地下、1樓及3樓,"G/F, 1/F & 3/F, 6 Yee Shun Street, Chai Wan, Hong Kong",842765,814005,EASTERN,東區
慈雲山社區會堂,Tsz Wan Shan Community Hall,九龍黃大仙慈雲山慈樂?樂歡樓底層2樓,"LG1, Lok Foon House, Tsz Lok Estate, Tsz Wan Shan, Kowloon",838723.1,823030.7,WONG TAI SIN,黃大仙
元朗市東社區會堂,Yuen Long Town East Community Hall,新界元朗朗日路9號,"9 Long Yat Road, Yuen Long, New Territories.",821761.3,833975,YUEN LONG,元朗
筲箕灣胸肺科診所,Shaukeiwan Chest Clinic,香港筲箕灣柴灣道8號筲箕灣賽馬會分科診所2樓,"2/F, Shaukeiwan Jockey Club Polyclinic, 8 Chai Wan Road, Shaukeiwan, Hong Kong",841574.1,815285,EASTERN,東區
天晴社區會堂,Tin Ching Community Hall,新界天水圍天華路天晴?地下,"G/F, Tin Ching Estate, Tin Wah Road, Tin Shui Wai, New Territories",818270,835966,YUEN LONG,元朗
瀝源母嬰健康院,Lek Yuen Maternal and Child Health Centre,新界沙田瀝源街9號瀝源健康院2樓,"2/F Lek Yuen Health Centre, 9 Lek Yuen Street, Sha Tin, New Territories",837808.9,827174.1,SHA TIN,沙田
西貢海濱公園,Sai Kung Waterfront Park,新界西貢惠民路,"Wai Man Road, Sai Kung, New Territories",846336.5,827042.1,SAI KUNG,西貢
