District,Lat,Long
Yau Tsim Mong,22.280134015,114.17241182
Southern,22.236717079,114.196460137
Kwun Tong,22.31056555,114.233344008
Wan Chai,22.380641322,114.188547024
Sham Shui Po,22.333928585,114.147641814
Sha Tin,22.391228415,113.979145246
Tuen Mun,22.328623831,114.207063851
Kwun Tong,22.377516118,114.18408502
Sha Tin,22.278533212,114.162485552
Central And Western,22.2496628,114.173266477
Kwun Tong,22.312517803,114.222381471
Southern,22.31566352,114.224277046
Kwun Tong,22.306429892,114.254337317
Sai Kung,22.329640336,114.18889123
Sham Shui Po,22.448924256,114.023465626
Kowloon City,22.340156869,114.138481582
Kowloon City,22.360787155,114.125369984
Yuen Long,22.263574554,114.249552871
Kwai Tsing,22.283689284,114.211787548
Eastern,22.373678047,114.137530562
Eastern,22.331574514,114.227262416
Kwai Tsing,22.293803532,114.168612196
Eastern,22.323336898,114.217308619
Kwun Tong,22.282230781,114.22287332
Yau Tsim Mong,22.219158743,114.21221284
Kwun Tong,22.403165624,113.973189644
Tuen Mun,22.370479578,114.119814529
Sha Tin,22.339186054,114.172719626
Tsuen Wan,22.317056206,114.216966134
Southern,22.367668458,114.17962211
Kwun Tong,22.221244431,114.214028083
Kwun Tong,22.355514462,114.102711395
Sham Shui Po,22.338645843,114.157635468
Kwai Tsing,22.321359682,114.172623087
Southern,22.241680911,114.154592042
Southern,22.373375465,114.186949169
Sha Tin,22.504979042,114.130447376
Yau Tsim Mong,22.264851907,114.239909546
Sham Shui Po,22.34636997,114.200708075
North Point,22.383788188,114.19183718
Eastern,22.382567289,114.274642953
Wong Tai Sin,22.276415208,114.228359431
Yuen Long,22.445142851,114.035946336
Eastern,22.463089216,114.002007014
Yuen Long,22.45529881,114.162200255
Sha Tin,22.379534015,114.204671579
Sai Kung,22.45029662,114.023192096
Southern,22.313600425,114.185327908
Sha Tin,22.219156035,114.212207989
Tai Po,22.243179868,114.153624644
Kowloon City,22.311862041,114.222878177
Southern,22.306699114,114.212663819
Yuen Long,22.279063854,114.158863299
Central And Western,22.26400683,114.234535151
Kwun Tong,22.326064646,114.173855663
Kowloon City,22.308898338,114.233810159
Eastern,22.451968793,114.167813059
Kwun Tong,22.249366559,114.171930638
Yau Tsim Mong,22.324286362,114.169004488
Eastern,22.289553048,114.193730037
Yau Tsim Mong,22.308456303,114.015748578
Southern,22.348917289,114.105953475
Tai Po,22.286355795,114.145120009
Islands,22.286002612,114.149626468
Kwai Tsing,22.335048984,114.195871065
Central And Western,22.280082,114.227234227
Central And Western,22.312522212,114.169151697
Eastern,22.310105333,114.237396765
Wong Tai Sin,22.279840531,114.172861089
Kwun Tong,22.281252006,114.211366788
Yau Tsim Mong,22.453882574,114.174115252
Wan Chai,22.292169749,114.208344706
Eastern,22.502540064,114.127833861
Eastern,22.307271658,114.187355898
Tai Po,22.494704504,114.138205886
Kowloon City,22.334580518,114.138600562
North Point,22.337125947,114.196453779
Tuen Mun,22.376657136,113.963052273
North Point,22.459860674,114.171919383
Wong Tai Sin,22.299069141,114.166120727
Sham Shui Po,22.291369349,114.204996636
Tai Po,22.391810222,113.977139114
Yau Tsim Mong,22.318606067,114.167986655
Tuen Mun,22.309752331,114.229351891
Eastern,22.311705619,114.263176052
Kwun Tong,22.445279485,114.0272195
Yau Tsim Mong,22.247334678,114.159189421
Sai Kung,22.28571982,114.13605113
Yuen Long,22.524499553,114.160641624
Central And Western,22.210395975,114.028769343
Islands,22.348812946,114.106900058
Southern,22.272108118,114.188575805
North Point,22.311967855,114.181241813
Wan Chai,22.300517075,114.173824179
Kwai Tsing,22.338309595,114.1901248
Tuen Mun,22.391460539,113.974071934
Wong Tai Sin,22.377648383,114.111255157
Kowloon City,22.301790265,114.169751067
Yau Tsim Mong,22.371940005,114.12035573
Tsuen Wan,22.380662943,114.18924519
Sha Tin,22.286885844,114.140572725
Yau Tsim Mong,22.305999691,114.251214969
Sha Tin,22.289916645,114.1454996
Central And Western,22.311897866,114.18973505
Tsuen Wan,22.352441025,114.127978745
Eastern,22.247443663,114.166309944
Sai Kung,22.441348148,114.023912075
Sha Tin,22.342922858,114.201667569
Wan Chai,22.319239685,114.213658968
Central And Western,22.281312569,114.177997995
Kowloon City,22.464839138,113.996924305
Yuen Long,22.371239183,114.112928203
Southern,22.276849533,114.225593257
Kowloon City,22.21839309,114.21151238
Wan Chai,22.3026961,114.171443541
Wong Tai Sin,22.454046551,114.165470562
Kwai Tsing,22.309872658,114.169702133
Kowloon City,22.386021079,114.10601626
Kwun Tong,22.247560513,114.15982966
Yuen Long,22.249564658,114.15435797
Eastern,22.310575485,114.23334013
Tsuen Wan,22.298376754,114.171362189
Tai Po,22.446700531,114.169882653
Yau Tsim Mong,22.27738058,114.172663216
Southern,22.379083072,114.175495544
Southern,22.379076326,114.136832832
Tsuen Wan,22.408009645,114.321781899
Yau Tsim Mong,22.320546815,114.16945894
Kwun Tong,22.451001066,114.16058217
Yau Tsim Mong,22.277227071,114.173177482
Southern,22.332006235,114.163323615
Tai Po,22.312973522,114.229427828
Sha Tin,22.379710134,114.204532759
Wan Chai,22.287301729,114.147391443
Sai Kung,22.376390909,114.269191379
Yau Tsim Mong,22.275243974,114.178486971
Tsuen Wan,22.330498557,114.170264076
Tai Po,22.338410197,114.207444545
Sham Shui Po,22.385027196,114.143741132
Wan Chai,22.496514312,114.138695185
Tuen Mun,22.300517075,114.17382709
Yau Tsim Mong,22.40409502,113.974037101
Central And Western,22.28214802,114.160815229
Kwun Tong,22.468637101,114.00500239
Sha Tin,22.299362836,114.169772539
Central And Western,22.280962254,114.160373863
Kowloon City,22.33180999,114.160297045
Sai Kung,22.286608477,114.155011906
Wan Chai,22.300355077,114.187893017
Sham Shui Po,22.454767792,113.997975873
Wong Tai Sin,22.307000178,114.17739358
Tsuen Wan,22.277307654,114.16138826
North Point,22.33905584,114.185380899
Yuen Long,22.381800617,113.962839529
Yau Tsim Mong,22.334496067,114.208888094
Central And Western,22.380761074,114.214525753
Yau Tsim Mong,22.402305711,113.970175423
Kowloon City,22.496551363,114.138806935
Yuen Long,22.354098338,114.106459573
Sham Shui Po,22.44561779,114.023018499
Central And Western,22.317142065,114.187987515
Central And Western,22.324387343,114.248183726
Wong Tai Sin,22.327219421,114.157373985
Tuen Mun,22.220320564,114.21413841
Wong Tai Sin,22.335062124,114.213872794
Kwai Tsing,22.486960356,114.143724723
Kwun Tong,22.502161648,114.130749595
Tuen Mun,22.309247275,114.162627996
Sha Tin,22.286353986,114.145106424
North Point,22.361289807,114.121568779
Sai Kung,22.500143141,114.144749806
Yuen Long,22.311876193,114.189723402
Sham Shui Po,22.270921457,114.149702155
Southern,22.465179882,113.997192028
Central And Western,22.345460459,114.201590356
Wong Tai Sin,22.266103879,114.241384855
North Point,22.268945765,114.185752118
Kwai Tsing,22.338697297,114.157459759
North Point,22.310578198,114.233328484
Yau Tsim Mong,22.326611282,114.209807436
Central And Western,22.325975222,114.172849109
North Point,22.341975829,114.192134606
Central And Western,22.399503257,113.975664607
Eastern,22.307102257,114.23350566
Kowloon City,22.363213974,114.102863636
Wong Tai Sin,22.341033719,114.194328391
Wan Chai,22.370672107,114.113034296
Sham Shui Po,22.290585948,113.943823115
Kwun Tong,22.286381076,114.145096714
Yuen Long,22.311877096,114.189724372
Wong Tai Sin,22.450911086,114.164205912
Wong Tai Sin,22.39631722,113.965678254
Kwun Tong,22.368993007,114.114520599
Tuen Mun,22.356796807,114.126166581
Central And Western,22.384780754,114.190585604
Kwai Tsing,22.275300869,114.178290973
Yau Tsim Mong,22.244480532,114.155416168
Tsuen Wan,22.24742071,114.153878112
Tuen Mun,22.20591461,114.131719754
Islands,22.304436162,114.168256374
Wong Tai Sin,22.293915595,114.170450167
Tai Po,22.281218654,114.176787018
Central And Western,22.446125115,114.166576748
Kowloon City,22.390332821,113.97566906
Southern,22.332749566,114.197756802
Islands,22.496525185,114.13884873
Tsuen Wan,22.291348497,114.205462425
Sha Tin,22.505296555,114.12922269
Kwai Tsing,22.356289889,114.108181734
Wan Chai,22.318848686,114.190122956
Southern,22.309195393,114.170430062
Yau Tsim Mong,22.265363343,114.234228147
Wan Chai,22.44729667,114.174202815
Yau Tsim Mong,22.40646555,113.969086389
Tai Po,22.506249595,114.130368229
Tuen Mun,22.374766976,114.124266668
Kowloon City,22.290500191,113.943846547
Wan Chai,22.374637308,114.115090964
Eastern,22.382233641,114.27232681
Sha Tin,22.370598895,114.138618892
North Point,22.465743574,114.000643431
North Point,22.445740518,114.010194949
Kwai Tsing,22.373936979,114.136536211
Kowloon City,22.312638458,114.229516023
Yau Tsim Mong,22.376873999,113.968694365
Wan Chai,22.30943924,114.170963842
Eastern,22.500138628,114.144758553
Tai Po,22.447379232,114.004737148
Tuen Mun,22.370514161,114.115599619
North Point,22.292061687,114.238679629
Tsuen Wan,22.307613784,114.223788098
Islands,22.275466017,114.183074521
Sai Kung,22.325220094,114.185262608
Tsuen Wan,22.329242679,114.161130178
Kwai Tsing,22.285942202,114.140839819
Yuen Long,22.332385039,114.183564337
Yuen Long,22.277343564,114.159292395
Eastern,22.383080432,114.271249537
Kwai Tsing,22.388065641,114.194823687
Tuen Mun,22.27992667,114.162833756
Kwun Tong,22.44306328,114.033031164
Yau Tsim Mong,22.250503282,114.156941253
Kwun Tong,22.286604863,114.155001233
Yuen Long,22.334467047,114.209496717
North Point,22.374276275,114.115586322
Tsuen Wan,22.339761117,114.207728295
Kowloon City,22.33728954,114.169962835
Sham Shui Po,22.335979927,114.166565409
Wan Chai,22.382476671,114.201527957
Kowloon City,22.289199583,113.939343218
Central And Western,22.278437181,114.180280149
Central And Western,22.28635218,114.145110306
Sha Tin,22.290173618,114.143492766
Sai Kung,22.360787143,114.125333091
Central And Western,22.228703008,114.250693986
Southern,22.363128814,114.131543073
Central And Western,22.358474325,114.081350764
Yuen Long,22.343778657,114.203550035
Central And Western,22.330183965,114.189052408
Wong Tai Sin,22.284725207,114.222287071
Sham Shui Po,22.426024054,114.229559674
Sham Shui Po,22.452678106,114.161457316
Wong Tai Sin,22.263325701,114.239976777
Tsuen Wan,22.546121488,114.222848562
Sha Tin,22.281942985,114.128638843
Islands,22.317011058,114.268183623
Kowloon City,22.318779418,114.257656765
Wan Chai,22.390791051,113.978908919
Kwun Tong,22.308280667,114.172719561
Central And Western,22.33094492,114.15344514
Central And Western,22.301871567,114.170381872
Yau Tsim Mong,22.326899912,114.20695962
Kwai Tsing,22.267466994,114.249037746
Southern,22.207508325,114.031177534
Wan Chai,22.309458133,114.169260564
Kwai Tsing,22.275330664,114.178892555
Wong Tai Sin,22.301745265,114.177408116
Kwai Tsing,22.406604845,113.965084852
Sha Tin,22.456552542,114.002411604
Eastern,22.454660118,114.176371143
Tai Po,22.355356133,114.0982553
Kwun Tong,22.266985583,113.996478772
Eastern,22.325680753,114.170584613
Sai Kung,22.337965294,114.153470179
Sai Kung,22.377932444,114.195236032
North Point,22.44495014,114.022702538
Central And Western,22.332700806,114.197717967
Tuen Mun,22.385428048,113.971817161
Eastern,22.302025208,114.178398003
Yau Tsim Mong,22.282568978,114.162191126
Kwun Tong,22.293458621,114.169873759
Sham Shui Po,22.280333591,114.172391437
Yau Tsim Mong,22.442804802,114.02112533
Islands,22.314648851,114.226063511
Yau Tsim Mong,22.360817868,114.125398129
Tuen Mun,22.499182543,114.13409762
Yau Tsim Mong,22.3049048,114.216263903
Wan Chai,22.445636867,114.023136998
Kwai Tsing,22.307922002,114.228810628
Kowloon City,22.281073272,114.159806206
Yuen Long,22.346176899,114.199425639
Tai Po,22.295658454,114.239016982
Sha Tin,22.484754106,114.143135398
Sham Shui Po,22.342732064,114.208297814
Yuen Long,22.321862395,114.216528791
Islands,22.339519958,114.207947628
Yau Tsim Mong,22.274418531,114.172740926
Tuen Mun,22.361123456,114.12952428
Yau Tsim Mong,22.289085232,114.152570998
Kowloon City,22.281813976,114.129075539
Yau Tsim Mong,22.284888994,114.038054966
Yau Tsim Mong,22.463389854,114.004455053
Kowloon City,22.385338793,114.191135275
Sha Tin,22.263727131,114.236340602
Central And Western,22.348205897,114.200610337
Southern,22.333947213,114.157450708
Wan Chai,22.284592018,114.223825042
Wong Tai Sin,22.282331411,114.161525497
Southern,22.35971222,114.127302422
Yuen Long,22.277515227,114.160058916
Kwun Tong,22.391251933,113.979177259
Kwai Tsing,22.292252516,114.199397552
Kwun Tong,22.281488157,113.934914077
Central And Western,22.378691163,113.96469987
Yuen Long,22.397866792,114.319544561
Kwai Tsing,22.385548619,114.18690538
North Point,22.265384477,114.240521026
Wong Tai Sin,22.376208601,114.172470936
Wan Chai,22.371521649,114.114762213
Eastern,22.288437115,114.191095313
North Point,22.427365427,114.241070624
Kwun Tong,22.382938347,114.192566338
Wong Tai Sin,22.425166102,114.234987143
Eastern,22.309489437,114.220573366
Kwun Tong,22.402312942,113.970180268
Kwai Tsing,22.284209935,114.190414666
Central And Western,22.283752001,114.214029073
Central And Western,22.338612442,114.157732546
Yuen Long,22.277560855,114.156330988
Sha Tin,22.501438644,114.128786673
Islands,22.31710325,114.259626077
Sham Shui Po,22.30842484,114.239504011
Sham Shui Po,22.25061771,114.13614861
Wong Tai Sin,22.284182797,114.224285823
Eastern,22.442178773,114.166071884
Central And Western,22.366548681,114.174738343
Central And Western,22.265791696,114.238341111
Central And Western,22.441453388,114.022525713
Eastern,22.321882903,114.162790751
Kwai Tsing,22.266111266,113.99797404
Central And Western,22.496561305,114.138840946
Tuen Mun,22.382971932,114.273009953
Eastern,22.313518874,114.261632043
Islands,22.546102961,114.224452643
Tuen Mun,22.263557382,114.249583909
Central And Western,22.326605531,114.15902417
Sai Kung,22.27768084,114.163916844
Sha Tin,22.332656636,114.165973532
Eastern,22.290743649,114.300968896
Sha Tin,22.332804653,114.197754869
Wan Chai,22.281913102,114.225289357
Kowloon City,22.320781662,114.170701304
Sha Tin,22.370477044,114.100509129
Tsuen Wan,22.455130488,113.999316127
Eastern,22.441009783,114.027097792
Sham Shui Po,22.379336224,114.204799713
Sha Tin,22.370204001,114.185938182
Kwun Tong,22.3327008,114.197769414
Tuen Mun,22.330984258,114.16734814
Eastern,22.249168502,114.156562128
Sham Shui Po,22.243269321,114.148257224
Wan Chai,22.387592313,113.976591629
Wan Chai,22.370116462,114.124918949
North Point,22.284348084,113.937925
Southern,22.206819435,114.028346375
Central And Western,22.295529644,114.271890285
Wan Chai,22.427274233,114.231192977
Kwun Tong,22.370017055,114.119362256
Eastern,22.278282703,114.233884105
Southern,22.319602246,114.260930093
Wan Chai,22.390273963,113.976267332
Sai Kung,22.339970763,114.15880891
Sha Tin,22.318401249,114.172272793
Tai Po,22.282006877,114.222674327
Tai Po,22.31128361,114.256671233
Yuen Long,22.290569569,113.943736778
Tai Po,22.346271919,114.126889736
Eastern,22.279602094,114.171838376
Islands,22.44135271,114.02880716
North Point,22.387438127,113.976782178
Sai Kung,22.33736719,114.151602611
Eastern,22.309264873,114.169144111
North Point,22.492474807,114.141753573
Sai Kung,22.356582591,114.102307926
Sham Shui Po,22.337496429,114.19446385
Central And Western,22.288434001,114.215659585
Sham Shui Po,22.390942926,113.976839315
Kowloon City,22.377135645,113.967111259
Eastern,22.380150827,114.190315206
Sai Kung,22.318168968,114.259413177
Tsuen Wan,22.323634638,114.160651316
Yau Tsim Mong,22.317046806,114.193150026
Kwai Tsing,22.334356107,114.208814289
Yuen Long,22.284957897,114.130310708
Sha Tin,22.253981269,114.159353514
Yuen Long,22.407524546,113.964015135
Sha Tin,22.301456202,114.18205668
Sham Shui Po,22.358542051,114.12502518
Kowloon City,22.306814079,114.222362152
Kwun Tong,22.227156211,114.109568768
Southern,22.285369989,114.159251609
Southern,22.399882549,113.973508108
Yau Tsim Mong,22.282670112,114.224470648
Sham Shui Po,22.337406735,114.18745523
Kwai Tsing,22.399832157,113.977276243
Tuen Mun,22.374730221,114.125103666
Islands,22.317527174,114.210951561
Islands,22.278373591,114.165259694
Sai Kung,22.349870837,114.127673837
Wan Chai,22.39340971,113.975835549
Eastern,22.303864639,114.238840103
Wan Chai,22.40406717,113.979258202
Sha Tin,22.280607782,114.165409911
Tsuen Wan,22.2850865,114.222044597
Sai Kung,22.244931336,114.187234822
Sham Shui Po,22.499916473,114.144725562
Tuen Mun,22.377403183,114.185195836
Sham Shui Po,22.284827605,114.144076248
Eastern,22.367798402,114.125164483
Kwun Tong,22.2805406,114.161155027
Sai Kung,22.325856132,114.255108055
Yau Tsim Mong,22.275286421,114.178240518
Islands,22.337597331,114.141238164
Kwai Tsing,22.321933172,114.178354548
Tuen Mun,22.45828936,114.171355933
Tai Po,22.417355672,114.226797978
Yau Tsim Mong,22.306285006,114.255161196
Sham Shui Po,22.366559689,114.139275367
Yuen Long,22.321056958,114.216154879
North Point,22.333189513,114.167129585
Kwai Tsing,22.284482289,114.173374276
North Point,22.28490072,114.038039428
Eastern,22.332720668,114.19775971
Tuen Mun,22.281873314,114.222353102
Southern,22.318641283,114.167935211
Tsuen Wan,22.355943917,114.105849923
Tuen Mun,22.331792842,114.16038635
Eastern,22.322228432,114.249534696
Wong Tai Sin,22.320554124,114.171631153
Kwai Tsing,22.313379184,114.222868969
Sha Tin,22.281672099,114.235854292
Sai Kung,22.37449054,114.26495472
Kowloon City,22.317792336,114.26794925
Wong Tai Sin,22.32936289,114.20986244
Central And Western,22.495471358,114.13893551
Yau Tsim Mong,22.312000425,114.222111492
Tuen Mun,22.426023801,114.230327029
Southern,22.375604457,114.194485153
Kwai Tsing,22.381780363,114.201878376
Kwun Tong,22.450187357,114.004422802
Yau Tsim Mong,22.447356733,114.004810037
Tuen Mun,22.294240747,114.171866969
Islands,22.367320076,114.113296032
Yau Tsim Mong,22.310861977,114.230013242
Central And Western,22.344964774,114.193872617
Tuen Mun,22.318515097,114.176059064
Wong Tai Sin,22.313652224,114.221745154
Tsuen Wan,22.451004588,114.178262686
Eastern,22.281344612,114.189194679
Central And Western,22.356871097,114.295946923
Kwun Tong,22.224989691,114.197517685
Central And Western,22.322883314,114.271904921
Tuen Mun,22.372804916,113.956458529
Kwai Tsing,22.376580876,113.981297261
Wan Chai,22.364014135,114.069158251
Kwun Tong,22.367406716,114.074432637
Tuen Mun,22.231836204,114.25168502
Eastern,22.379388539,113.979876638
Central And Western,22.239991522,113.975945472
Southern,22.291132008,114.291073098
Sha Tin,22.372305688,113.988013533
Wan Chai,22.375822161,113.983423804
North Point,22.350242731,114.061534392
Yau Tsim Mong,22.221245336,114.214019354
Central And Western,22.228085417,113.935357897
Central And Western,22.367845073,114.288236384
Kwai Tsing,22.228710235,114.25069011
Sham Shui Po,22.36781147,114.076169336
Sai Kung,22.244486995,114.187708189
Wan Chai,22.213291785,114.214918262
Kowloon City,22.236862511,114.196142959
Sha Tin,22.373638079,113.986805793
Tai Po,22.270144545,113.998982828
North Point,22.217796086,114.202117818
Southern,22.207118412,114.034481146
Sai Kung,22.357679516,114.267821775
Kwun Tong,22.364813553,114.070853816
Kwai Tsing,22.367457169,114.086361429
Sham Shui Po,22.287358579,114.287799871
Wan Chai,22.278075986,114.17541888
Islands,22.36475518,114.055859134
Yau Tsim Mong,22.246442715,114.246980068
Yau Tsim Mong,22.218823847,114.119699498
Kowloon City,22.230604709,113.941343199
Eastern,22.369133019,114.079752126
Sai Kung,22.209330319,114.0307305
Sham Shui Po,22.204461532,114.122714614
Kwai Tsing,22.23411375,113.95529568
Yau Tsim Mong,22.233034358,114.223193823
Wan Chai,22.224236112,114.214848472
Kwun Tong,22.303971074,114.226036476
Eastern,22.34238515,114.198055291
Sham Shui Po,22.282931071,114.143577933
Kwun Tong,22.385558796,113.970245809
Central And Western,22.463234091,114.007449693
Sai Kung,22.363375084,114.112154101
Wan Chai,22.327238339,114.254007137
Sai Kung,22.34587074,114.199590622
Kwun Tong,22.244824603,114.155438427
North Point,22.379491635,114.189873331
Sha Tin,22.322984358,114.215015909
Sha Tin,22.229835469,114.198238121
Sha Tin,22.455658751,114.003454212
Yuen Long,22.28135824,114.165578689
Tai Po,22.382558258,114.274644889
Yau Tsim Mong,22.293483085,114.20149094
Tsuen Wan,22.374749175,114.125072588
Wan Chai,22.295413877,114.174094068
Wan Chai,22.451827253,114.179004933
Eastern,22.380603895,114.26216009
Yuen Long,22.33165589,114.18982714
Kowloon City,22.290395756,114.2143695
Wong Tai Sin,22.344845412,114.183847431
Kwun Tong,22.40883274,114.220409181
Tai Po,22.29081439,113.948889162
Wan Chai,22.277686329,114.155925381
Kwun Tong,22.39193385,113.97344392
Sai Kung,22.338589982,114.170982037
Southern,22.244612037,114.152957963
Sai Kung,22.32409123,114.157411303
Tsuen Wan,22.339129556,114.204525707
Tsuen Wan,22.336151228,114.21380222
Tsuen Wan,22.356164272,114.105872141
Tuen Mun,22.338879041,114.173990323
Tuen Mun,22.300697091,114.154569127
Southern,22.305027078,114.268855175
Tsuen Wan,22.245122015,114.157875234
Tuen Mun,22.300117814,114.170210181
Islands,22.325017296,114.252991602
Southern,22.325774763,114.173803254
Tuen Mun,22.367113993,114.112822313
Sai Kung,22.314142318,114.260992821
Tuen Mun,22.362360493,114.098812547
Southern,22.329842248,114.221806634
Sai Kung,22.282563819,114.188227355
Islands,22.264337912,114.244763308
Southern,22.498922471,114.134111306
Southern,22.288404232,114.215524694
Southern,22.26627749,114.238486858
Islands,22.427294102,114.231185214
Tuen Mun,22.302057347,114.261419382
Southern,22.339475603,114.136984894
Islands,22.270209226,114.184285169
Sai Kung,22.357196125,114.132924581
Tsuen Wan,22.442499244,114.018926311
Tsuen Wan,22.318774902,114.257656762
Sai Kung,22.255482805,114.29593179
Southern,22.253283425,113.986203173
Tsuen Wan,22.506638325,114.27019608
Islands,22.213132337,113.903305469
Islands,22.213268493,113.878021049
Tsuen Wan,22.434460699,114.336231623
Islands,22.487480297,114.242925244
Islands,22.402740203,114.275186352
Islands,22.251829513,113.99408257
Southern,22.491394683,114.167078744
Southern,22.359241967,114.365038977
Southern,22.540691532,114.441090813
Kwun Tong,22.406260027,114.32522492
Wong Tai Sin,22.43669367,114.33372794
Yuen Long,22.385532985,114.307749218
Central & Western,22.51459188,114.231851049
Tuen Mun,22.465081011,114.338102959
Tsuen Wan,22.406808053,114.103228093
Wong Tai Sin,22.422929202,114.335839645
Yuen Long,22.39008946,114.066044311
Sai Kung,22.498411596,114.177778222
Southern,22.20449095,113.863725459
Sha Tin,22.411320876,114.157789636
Sai Kung,22.254904284,113.914218075
Kwun Tong,22.212059149,113.915178503
Tsuen Wan,22.402002709,114.3715159
Eastern,22.382201239,114.326918115
Central & Western,22.441025899,114.32672874
Yau Tsim Mong,22.228869513,113.889909817
Wong Tai Sin,22.409960322,114.071700507
Eastern,22.237527268,113.988183947
Kowloon City,22.426391668,114.311812717
Sai Kung,22.238840093,113.852833365
Tai Po,22.378105681,114.331943508
Central & Western,22.230648929,113.866509425
Sha Tin,22.405075037,114.105093691
Islands,22.373299358,114.375204468
Southern,22.208659428,113.843679684
Sham Shui Po,22.409622852,114.37429643
Central & Western,22.392944101,114.251163045
Tuen Mun,22.406005226,114.105201987
Sham Shui Po,22.461618288,114.342131015
Kwai Tsing,22.243772333,114.218005516
Wong Tai Sin,22.407348644,114.274885607
Wong Tai Sin,22.378825025,114.143705701
Sham Shui Po,22.504567613,114.235940657
Yau Tsim Mong,22.400447705,114.31851777
Sai Kung,22.483453586,114.243056461
Southern,22.349104587,114.148374523
Yau Tsim Mong,22.458424706,114.325882754
Sai Kung,22.255441546,113.988354958
Tsuen Wan,22.496051909,114.180750045
Sai Kung,22.395357165,114.28327449
Yau Tsim Mong,22.353192981,114.156021897
Kwun Tong,22.36375819,114.181457041
Eastern,22.49530588,114.169559524
Kwai Tsing,22.256136377,114.163475457
Eastern,22.46847143,114.232985177
Eastern,22.273591351,114.211194137
North Point,22.409147895,114.033362313
Sha Tin,22.436029326,114.336191644
Sai Kung,22.21069313,114.197902557
Eastern,22.258820666,114.202184362
Wan Chai,22.290248805,114.29973897
Kwai Tsing,22.471383813,114.232780361
Sham Shui Po,22.240087603,114.249551414
Sai Kung,22.344959196,114.183862969
Yuen Long,22.23004264,114.257496187
Tung Lung Fort Special Area,22.223782952,114.126204798
Lantau South Country Park,22.252080063,114.133760693
Lantau South Country Park,22.398883631,114.199325377
Plover Cove Country Park,22.44147834,114.094887459
Lantau South Country Park,22.200813532,114.018251493
Pat Sin Leng Country Park,22.287043506,114.039956708
Sai Kung East Country Park,22.226649098,113.933844324
Pat Sin Leng Country Park,22.316683856,114.268704611
