LOCALITY,District,Northing_m,Easting_m
HO PUI,,829928.833,824399.072
FANLING HIGHWAY,,839857.386,831496.336
"ON PO ROAD, TAI PO",,834984.868,835944.16
"MING NGA COURT, TAI PO",,834782.907,836027.915
"MING NGA COURT, TAI PO",,834788.862,836151.816
DAI FAT STREET,,835123.209,836710.414
"KAM SHAN ROAD, TAI PO",,834418.014,834785.066
"KAM SHAN ROAD, TAI PO",,834383.1,834699.245
"KAM SHAN ROAD, TAI PO",,834393.944,834583.051
"KAM SHAN ROAD, TAI PO",,834346.79,834432.901
"KAM WO BRIDGE, TAI PO",,834459.459,834439.183
"KAM SHEK NEW VILLAGE, TAI PO",,834525.492,834328.142
CASTLE PEAK ROAD - KWU TUNG,,840090.193,830238.257
CASTLE PEAK ROAD,,840327.673,829885.104
WU KAI SHA,,832954.15,842501.738
MA ON SHAN ROAD,,830287.688,841156.742
CASTLE PEAK ROAD,,827299.74,816088.035
CASTLE PEAK ROAD - CASTLE PEAK BAY,,827736.08,816042.751
CASTLE PEAK ROAD,,828263.091,815804.915
CASTLE PEAK ROAD - SAN HUI,,828928.972,815738.882
CASTLE PEAK ROAD,,828069.358,815947.313
CASTLE PEAK ROAD - SAN HUI,,828755.198,815700.774
CASTLE PEAK ROAD - SAN HUI,,829763.586,815848.396
"NAI WAI, LAM TEI",,831631.205,816701.712
"MA MIU ROAD, YUEN LONG",,834039.159,820326.386
"PO HEUNG STREET, TAI PO",,834263.846,835167.409
"PO HEUNG STREET, TAI PO",,834108.797,835089.744
"FU TEI AU ROAD, SHEUNG SHUI",,842038.827,830723.221
"FU TEI AU ROAD, SHEUNG SHUI",,841988.024,830639.242
"FU TEI AU ROAD, SHEUNG SHUI",,841807.464,830431.122
CASTLE PEAK ROAD,,840569.117,827477.941
CASTLE PEAK ROAD,,840466.629,827843.447
CASTLE PEAK ROAD,,840435.609,828111.492
CASTLE PEAK ROAD,,840413.205,828394.772
CASTLE PEAK ROAD,,840390.844,828704.237
FO TAN ROAD,,828320.289,838325.564
"SUI WO ROAD, FO TAN",,828600.707,837879.452
DEEP BAY ROAD,,837277.848,817074.157
"DEEP BAY ROAD, LAU FAU SHAN",,835312.682,815661.619
"DEEP BAY ROAD, LAU FAU SHAN",,835104.679,815374.903
"DEEP BAY ROAD, LAU FAU SHAN",,834606.919,814398.659
"DEEP BAY ROAD, LAU FAU SHAN",,834387.259,814122.484
"DEEP BAY ROAD, LAU FAU SHAN",,834296.484,813998.468
"DEEP BAY ROAD, LAU FAU SHAN",,834298.261,813948.149
"NIM WAN ROAD, SHEUNG PAI NAI",,834065.722,813590.934
NIM WAN ROAD,,833637.729,813060.827
NIM WAN ROAD,,833487.738,812911.228
"TIN PING ROAD, SHEUNG SHUI",,841054.405,831312.704
"TIN PING ROAD, SHEUNG SHUI",,840943.741,831467.282
"TIN PING ROAD, SHEUNG SHUI",,840866.757,831599.521
FA SAM HANG,,827042.133,840889.568
"MAN KAM TO ROAD, SHA LING",,843539.683,831379.113
"MAN KAM TO ROAD, MAN KAM TO",,843874.564,831631.185
"LIN MA HANG ROAD, MAN KAM TO",,844032.564,831825.968
"LIN MA HANG RD, MAN KAM TO",,844383.784,832146.292
"MUK WU, MAN KAM TO",,844597.513,831624.668
"MAN KAM TO ROAD, MAN KAM TO",,844185.356,831242.498
"MAN KAM TO ROAD, SHA LING",,843570,831402.274
"MAN KAM TO ROAD, MAN KAM TO",,843733.216,831540.868
"LIN MA HANG ROAD, MAN KAM TO",,843919.47,831650.554
"LIN MA HANG ROAD, MAN KAM TO",,844005.859,831812.701
"LIN MA HANG ROAD, MAN KAM TO",,844114.909,831903.045
"LIN MA HANG RD, MAN KAM TO",,844257.25,831969.399
"LIN MA HANG RD, MAN KAM TO",,844372.256,832146.565
"LIN MA HANG RD, MAN KAM TO",,844541.028,832246.334
"LIN MA HANG RD, MAN KAM TO",,844663.671,832311.638
"LIN MA HANG RD, MAN KAM TO",,844725.779,832439.681
"LIN MA HANG RD, MAN KAM TO",,844734.46,832609.523
"LIN MA HANG RD, TA KWU LING",,844540.551,833043.891
"LIN MA HANG RD, MAN KAM TO",,844654.195,832656.582
"LIN MA HANG RD, TA KWU LING",,844535.878,832835.296
"SIU LEK YUEN ROAD, SHA TIN",,827136.911,839696.502
TING KOK ROAD,,835867.947,837258.498
"BRIDE'S POOL ROAD, TAI PO",,837420.449,842388.696
"BRIDE'S POOL ROAD, TAI PO",,838176.703,843103.596
BRIDE'S POOL ROAD,,841065.107,842145.675
"BRIDE'S POOL ROAD, LUK KENG",,841308.287,842163.297
"BRIDE'S POOL ROAD, LUK KENG",,841987.879,841704.566
"BRIDE'S POOL ROAD, LUK KENG",,842130.559,841581.43
"BRIDE'S POOL ROAD, LUK KENG",,842277.076,841391.141
"BRIDE'S POOL ROAD, LUK KENG",,842365.432,841133.461
BRIDE'S POOL ROAD,,842784.804,840520.777
"SAM MUN TSAI ROAD, TAI PO",,835259.247,839527.194
"SAM MUN TSAI ROAD, TAI PO",,835306.063,839683.061
"SAM MUN TSAI ROAD, TAI PO",,835329.09,839839.517
"TING KOK ROAD, TAI PO",,835992.665,839413.387
"TING KOK ROAD, TAI PO",,837044.283,842060.91
"TING KOK ROAD, TAI PO",,837319.622,842430.071
"CHAK CHEUNG STREET, MA LIU SHUI",,830539.604,839931.779
"BIOTECHNOLOGY AVENUE, MA LIU SHUI",,831187.978,840076.52
WO HANG TAI LONG,,843454.449,838244.753
NGA YIU TAU,,844625.422,840089.827
SHEUNG TAM SHUI HANG,,845463.837,840230.717
LUNG KWU SHEUNG TAN,,829257.808,809683.708
LUNG KWU SHEUNG TAN,,829819.775,809216.559
LUNG KWU SHEUNG TAN,,829716.663,808740.271
TSANG TSUI,,830807.542,809958.414
TSANG TSUI,,831310.412,809223.744
TSANG TSUI,,831470.48,809761.037
TSANG TSUI,,831525.385,810628.488
TAI PO ROAD,,825170.89,835210.885
TAI PO ROAD,,825517.836,835641.69
TAI PO ROAD,,824803.98,834924.2
"CASTLE PEAK ROAD, YUEN LONG",,833898.276,821381.073
"SHUI PIN WAI, YUEN LONG",,833891.434,820066.839
"CASTLE PEAK ROAD, YUEN LONG",,833896.017,821083.002
"MA MIU ROAD, YUEN LONG",,833927.019,820361.036
"SHUI PIN WAI, YUEN LONG",,833850.182,819778.226
"WANG TAT ROAD, YUEN LONG",,834179.927,820201.224
"LONG YIP STREET, YUEN LONG",,834084.035,821338.55
"KAU YUK ROAD, YUEN LONG",,833734.395,820724.555
"CASTLE PEAK ROAD, YUEN LONG",,833891.791,820867.588
"CASTLE PEAK ROAD, YUEN LONG",,833912.301,820640.939
FUNG KA WAI,,835626.297,819180.627
"TIN WU ROAD, TIN SHUI WAI",,834978.505,818644.015
"TIN WU ROAD, TIN SHUI WAI",,834764.831,818248.755
FANLING HIGHWAY,,839810.652,831545.375
"WONG YIN STREET, TUEN MUN",,829188.596,814482.056
"MING KUM ROAD, TUEN MUN",,829766.907,814679.431
TO FUNG SHAN ROAD,,827259.345,836263.052
TUNG LO WAN HILL ROAD,,827072.151,836596.806
TO FUNG SHAN ROAD,,827411.158,836471.585
TO FUNG SHAN ROAD,,827218.711,836728.17
TO FUNG SHAN ROAD,,827053.728,836992.909
"SHEK PAI TAU ROAD, TUEN MUN",,829084.902,814923.114
"PUI TO ROAD, TUEN MUN",,828444.94,814933.366
LAM KAM ROAD,,834360.731,831977.504
LAM KAM ROAD,,834704.34,832854.695
LAM KAM ROAD,,835235.687,833328.239
LAM KAM ROAD,,832898.893,830461.784
LAM KAM ROAD,,833416.542,830460.847
CHE KUNG MIU ROAD,,825229.569,835478.741
"CHE KUNG MIU ROAD, SHA TIN",,825082.906,835838.585
HUNG MUI KUK ROAD,,825417.784,836661.321
"YUEN SHIN ROAD, TAI PO",,834981.955,836397.629
DAI FAT STREET,,834930.845,836710.284
"WONG CHU ROAD, TUEN MUN",,827388.571,815246.859
CAT HILL,,842072.441,834328.427
TAI PO ROAD,,824492.025,834642.297
TAI PO ROAD,,824316.893,834501.709
TAI PO ROAD,,824128.84,834409.346
TAI PO ROAD - SHA TIN HEIGHTS,,823904.042,834297.008
TAI PO ROAD - SHA TIN HEIGHTS,,823803.799,834172.386
"SAI SHA ROAD, MA ON SHAN",,831706.688,841963.801
"HANG HONG STREET, MA ON SHAN",,830924.433,841871.947
"HANG HONG STREET, MA ON SHAN",,831116.921,841649.831
"SAI SHA ROAD, MA ON SHAN",,831469.984,841533.685
"HANG HONG STREET, MA ON SHAN",,831258.765,841704.347
"CASTLE PEAK ROAD, SAN TIN",,839621.442,825775.544
"CASTLE PEAK ROAD, SAN TIN",,839474.822,825567.459
SHA TAU KOK ROAD - LUNG YEUK TAU,,840181.491,833182.825
SHA TAU KOK ROAD - LUNG YEUK TAU,,840032.289,833063.281
SHA TAU KOK ROAD - LUNG YEUK TAU,,839923.992,832975.625
"LUEN ON STREET, FANLING",,840015.329,832841.177
"ON LOK MUN STREET, FANLING",,839877.103,833029.731
"ON LOK MUN STREET, FANLING",,839720.401,832886.785
"JOCKEY CLUB ROAD, FANLING",,839465.493,832547.277
"WING NING WAI, FANLING",,840225.655,833417.965
"WING NING WAI, FANLING",,840095.345,833413.405
"ON CHUEN STREET, FANLING",,839915.855,833249.391
"LOK TUNG STREET, FANLING",,839687.928,833247.923
"ON LOK TSUEN, FANLING",,839597.628,833084.763
"ON FUK STREET, FANLING",,839531.555,832990.1
"LOK YIP ROAD, FANLING",,839428.011,832895.638
"LOK YIP ROAD, FANLING",,839299.89,833038.461
"JOCKEY CLUB ROAD, FANLING",,838941.532,833120.682
"TONG HANG, FANLING",,838752.434,833291.531
"JOCKEY CLUB ROAD, FANLING",,839317.515,832844.221
"JOCKEY CLUB ROAD, FANLING",,839822.406,832274.71
"JOCKEY CLUB ROAD, FANLING",,839947.544,832028.219
"MA SIK ROAD, FANLING",,840304.645,832454.588
"FAN LENG LAU ROAD, FANLING",,840039.559,832503.296
"FAN LENG LAU ROAD, FANLING",,839875.917,832540.307
"FAN LENG LAU ROAD, FANLING",,839715.973,832592.51
"MA SIK ROAD, FANLING",,840276.866,832921.308
"PO SHEK WU ROAD, SHEUNG SHUI",,840585.361,830849.794
"FANLING HIGHWAY, SHEUNG SHUI",,840071.461,830799.166
"PO PING ROAD, SHEUNG SHUI",,839953.489,830966.515
"PO PING ROAD, SHEUNG SHUI",,839912.641,831031.313
"PO PING ROAD, SHEUNG SHUI",,839794.403,830996.998
"PO KIN ROAD, SHEUNG SHUI",,839665.539,831024.611
"PAK WO ROAD, SHEUNG SHUI",,839959.538,831172.305
"PAK WO ROAD, SHEUNG SHUI",,839865.819,831145.215
"SAN WAN ROAD, SHEUNG SHUI",,839911.483,831578.821
"SAN WAN ROAD, SHEUNG SHUI",,839721.042,831761.107
"JOCKEY CLUB ROAD, SHEUNG SHUI",,840423.571,831571.591
"JOCKEY CLUB ROAD, SHEUNG SHUI",,840355.161,831668.227
"JOCKEY CLUB ROAD, SHEUNG SHUI",,840237.323,831751.498
"WO HING ROAD, FANLING",,838625,833195.429
"WAI MING STREET, FANLING",,838534.554,832575.691
"PAK WO ROAD, FANLING",,839135.82,832218.118
"PAK FUK TSUEN, FANLING",,838996.089,831960.578
"PAK FUK TSUEN, FANLING",,839171.203,832187.894
FANLING SWIMMING POOL,,839516.796,831995.022
"SAN WAN ROAD, FANLING",,839526.376,832162.194
"SAN WAN ROAD, FANLING",,839328.459,832369.638
SHA TAU KOK ROAD - LUNG YEUK TAU,,839389.418,832449.153
"WAH MING ROAD, FANLING",,838194.994,832831.873
"MING YIN ROAD, FANLING",,838020.609,832858.606
"WAH MING ROAD, FANLING",,838067.827,832579.854
"WAH MING ROAD, FANLING",,838306.352,832406.157
"MING YIN ROAD, FANLING",,837999.89,832979.753
"MING YIN ROAD, FANLING",,838008.562,833101.192
"WO HOP SHEK, FANLING",,837910.895,833110.21
"FAI MING ROAD, FANLING",,838095.416,832424.63
"WAI MING STREET, FANLING",,838449.517,832429.33
"PAK WO ROAD, FANLING",,839036.151,832367.835
KAM TIN ROAD,,833400.122,824843.541
KAM TIN ROAD,,833356.031,824976.65
KAM TIN ROAD,,833403.556,825469.044
KAM TIN ROAD,,833427.516,825761.19
KAM TIN ROAD,,833460.274,826067.487
"KAM TIN ROAD, SHEK KONG",,833502.592,826747.573
"KAM TIN ROAD, SHEK KONG",,833589.699,826909.96
"KAM TIN ROAD, SHEK KONG",,833597.527,827003.311
"KAM SHEUNG ROAD, KAM TIN",,832321.399,825414.771
"KAM SHEUNG ROAD, KAM TIN",,832592.581,825351.196
KAM SHEUNG ROAD,,833199.806,824759.35
KAM SHEUNG ROAD,,833224.18,824591.825
KAM SHEUNG ROAD,,833271.978,824435.665
KAM TIN ROAD,,833424.781,824593.595
CASTLE PEAK ROAD,,839611.294,824779.208
CASTLE PEAK ROAD,,839474.031,824454.85
CASTLE PEAK ROAD,,839382.416,824387.567
CASTLE PEAK ROAD,,838692.481,824118.531
CASTLE PEAK ROAD,,838562.026,824081.303
CASTLE PEAK ROAD,,838006.707,824054.533
"SAN TIN HIGHWAY, MO FAN HEUNG",,835761.605,823521.09
"LIN MA HANG ROAD, TA KWU LING",,845130.271,833716.908
"LIN MA HANG ROAD, TA KWU LING",,844909.864,833624.665
"LIN MA HANG ROAD, TA KWU LING",,844635.685,833488.107
"PING CHE ROAD, FANLING",,844505.957,833356.33
"LIN MA HANG ROAD, TA KWU LING",,844550.217,833227.44
"PING CHE ROAD, FANLING",,844350.842,833439.26
"PING CHE ROAD, FANLING",,843946.077,833620.29
"PING CHE ROAD, FANLING",,843704.911,833740.234
"PING CHE ROAD, FANLING",,843348.341,833987.525
"PING CHE ROAD, FANLING",,842968.368,834483.758
"PING CHE ROAD, FANLING",,842784.821,834541.166
"PING CHE ROAD, FANLING",,842605.655,834717.991
"PING CHE ROAD, FANLING",,842039.844,835117.357
"PING CHE ROAD, FANLING",,841820.212,835205.187
SHA TAU KOK ROAD - MA MEI HA,,841526.793,835303.992
"PING CHE ROAD, FANLING",,843221.188,834251.933
"PING CHE ROAD, FANLING",,842233.098,835065.984
FAN KAM ROAD,,839541.427,830532.24
FAN KAM ROAD,,839326.562,830388.002
FAN KAM ROAD,,839102.262,830211.59
"FAN KAM ROAD, SHEUNG SHUI",,838965.543,830112.431
"FAN KAM ROAD, SHEUNG SHUI",,838767.651,830046.85
"FAN KAM ROAD, SHEUNG SHUI",,838596.335,830036.215
FAN KAM ROAD,,838107.355,829744.064
FAN KAM ROAD,,838036.577,829669.508
FAN KAM ROAD,,837416.457,829515.213
FAN KAM ROAD,,837053.248,829378.727
FAN KAM ROAD,,836658.233,829262.39
FAN KAM ROAD,,836033.027,828913.185
"FAN KAM ROAD, PAT HEUNG",,835776.685,828785.809
"FAN KAM ROAD, PAT HEUNG",,835695.868,828654.157
"FAN KAM ROAD, PAT HEUNG",,835495.721,828485.246
"FAN KAM ROAD, PAT HEUNG",,835353.159,828302.935
"FAN KAM ROAD, PAT HEUNG",,835087.473,828244.093
"FAN KAM ROAD, PAT HEUNG",,834901.955,828186.049
"FAN KAM ROAD, PAT HEUNG",,834492.908,828078.46
"FAN KAM ROAD, PAT HEUNG",,834343.636,828036.495
"FAN KAM ROAD, PAT HEUNG",,834148.472,827967.765
"FAN KAM ROAD, PAT HEUNG",,833956.172,827756.293
"FAN KAM ROAD, PAT HEUNG",,833728.479,827585.909
"FAN KAM ROAD, PAT HEUNG",,833650.726,827416.578
"FAN KAM ROAD, PAT HEUNG",,833550.894,827223.749
"FAN KAM ROAD, PAT HEUNG",,834689.801,828177.526
FAN KAM ROAD,,838372.455,829903.78
FAN KAM ROAD,,838247.377,829861.784
FAN KAM ROAD,,837624.338,829585.428
CASTLE PEAK ROAD - PING SHAN,,833819.978,819561.102
CASTLE PEAK ROAD - PING SHAN,,833691.73,819262.479
"CASTLE PEAK ROAD, PING SHAN",,833456.857,818837.161
"CASTLE PEAK ROAD, PING SHAN",,833251.752,818532.02
"CASTLE PEAK ROAD, PING SHAN",,833114.218,818319.827
"HUNG TIN ROAD, HUNG SHUI KIU",,832936.14,818083.15
CASTLE PEAK ROAD - HUNG SHUI KIU,,832790.005,817897.236
CASTLE PEAK ROAD - HUNG SHUI KIU,,832644.276,817745.332
LAM KAM ROAD,,835788.197,833223.768
LAM KAM ROAD,,835726.427,833131.943
LAM KAM ROAD,,835552.578,833060.645
LAM KAM ROAD,,835366.269,832977.333
LAM KAM ROAD,,834931.983,832546.146
LAM KAM ROAD,,834733.133,832474.106
LAM KAM ROAD,,834587.695,832247.12
LAM KAM ROAD,,834459.206,832045.158
LAM KAM ROAD,,834265.898,831866.859
LAM KAM ROAD,,833888.752,831525.461
LAM KAM ROAD,,833747.09,831311.343
LAM KAM ROAD,,833596.814,831208.562
LAM KAM ROAD,,833461.178,831102.63
LAM KAM ROAD,,833416.846,830854.837
LAM KAM ROAD,,833305.86,830753.903
LAM KAM ROAD,,833029.493,830501.137
LAM KAM ROAD,,832921.445,830385.298
LAM KAM ROAD,,832774.871,830226.703
LAM KAM ROAD,,832681.597,830137.151
LAM KAM ROAD,,832665.825,830023.297
LAM KAM ROAD,,832632.869,829925.964
LAM KAM ROAD,,835045.596,832676.004
LAM KAM ROAD,,835294.577,832832.364
LAM KAM ROAD,,834027.854,831678.923
"ON LAI STREET, SHA TIN",,827948.516,839246.738
"YUEN WO ROAD, SHA TIN",,827522.906,838206.009
"PING HA ROAD, YUEN LONG",,833799.489,819157.717
"PING HA ROAD, YUEN LONG",,833821.268,819007.848
"PING HA ROAD, YUEN LONG",,833810.722,818922.246
"PING HA ROAD, YUEN LONG",,833871.851,818678.314
"TAI PO TAI WO ROAD, TAI PO",,834652.993,835068.734
"ON CHEE ROAD, TAI PO",,834839.616,835142.669
"TING KOK ROAD, TAI PO",,834955.181,835163.595
"ON PO ROAD, TAI PO",,835118.99,836096.789
"TING KOK ROAD, TAI PO",,835243.872,836220.83
"TING KOK ROAD, TAI PO",,835461.321,836366.229
"TING KOK ROAD, TAI PO",,835534.284,836491.416
"TING KOK ROAD, TAI PO",,835495.9,836712.436
TING KOK ROAD,,835843.446,837127.507
TING KOK ROAD,,835859.297,837457.815
TING KOK ROAD,,835866.536,837637.358
"DAI KWAI STREET, TAI PO",,835527.423,837445.764
"DAI KWAI STREET, TAI PO",,835280.423,837453.709
"DAI CHEONG STREET, TAI PO",,835281.942,837082.354
"DAI CHEONG STREET, TAI PO",,835273.968,836856.908
DAI CHEONG STREET,,835295.277,836723.195
"PING HA ROAD, TIN SHUI WAI",,834100.308,818208.827
LAU FAU SHAN ROAD,,835990.595,816767.034
LAU FAU SHAN ROAD,,836315.763,816521.728
"TIN HA ROAD, YUEN LONG",,834073.769,817352.648
"TIN HA ROAD, YUEN LONG",,833767.411,817163.858
"TSING TIN ROAD, TUEN MUN",,829565.362,815095.142
"MING KUM ROAD, TUEN MUN",,829534.622,814683.878
"MING KUM ROAD, TUEN MUN",,829239.67,814744.762
"MING KUM ROAD, TUEN MUN",,829068.593,814741.053
"MING KUM ROAD, TUEN MUN",,828746.808,814700.301
"PUI TO ROAD, TUEN MUN",,828480.351,814733.02
"TSING WUN ROAD, TUEN MUN",,828231.385,814730.357
"TSING WUN ROAD, TUEN MUN",,827867.741,814626.111
"TSING WUN ROAD, TUEN MUN",,827727.462,814564.525
"LUNG MUN ROAD, TUEN MUN",,827484.46,814504.237
"LUNG MUN ROAD, TUEN MUN",,826557.761,814133.112
"WU CHUI ROAD, TUEN MUN",,826337.07,813971.093
"LUNG MUN ROAD, TUEN MUN",,826150.184,813556.127
"LUNG MUN ROAD, TUEN MUN",,825862.815,813335.915
"TUEN MUN RIVER CHANNEL, TUEN MUN",,826974.539,814744.016
"LUNG MUN ROAD, TUEN MUN",,827303.863,814467.146
"LUNG MUN ROAD, TUEN MUN",,827172.18,814373.426
"LUNG MUN ROAD, TUEN MUN",,826940.55,814259.466
"BRIDE'S POOL ROAD, TAI PO",,837552.551,842435.65
"BRIDE'S POOL ROAD, TAI PO",,837577.163,842570.658
"BRIDE'S POOL ROAD, TAI PO",,837707.748,842655.837
"BRIDE'S POOL ROAD, TAI PO",,837797.262,842807.589
"BRIDE'S POOL ROAD, TAI PO",,837945.755,842877.978
"BRIDE'S POOL ROAD, TAI PO",,838098.144,843036.204
"BRIDE'S POOL ROAD, TAI PO",,838255.398,843094.021
"BRIDE'S POOL ROAD, TAI PO",,838333.219,843045.111
"BRIDE'S POOL ROAD, TAI PO",,838404.635,843075.13
"BRIDE'S POOL ROAD, TAI PO",,838456.967,843143.381
"BRIDE'S POOL ROAD, TAI PO",,838515.784,843177.235
"BRIDE'S POOL ROAD, TAI PO",,838624.365,843164.969
"BRIDE'S POOL ROAD, TAI PO",,838688.123,843088.464
"BRIDE'S POOL ROAD, TAI PO",,838734.39,842986.411
"BRIDE'S POOL ROAD, TAI PO",,838909.571,843025.909
"BRIDE'S POOL ROAD, TAI PO",,839051.431,842946.292
"BRIDE'S POOL ROAD, TAI PO",,839283.915,842967.4
"BRIDE'S POOL ROAD, TAI PO",,839533.372,842873.831
"BRIDE'S POOL ROAD, TAI PO",,839682.273,842899.546
"BRIDE'S POOL ROAD, TAI PO",,839829.927,842819.112
"BRIDE'S POOL ROAD, TAI PO",,839953.477,842785.566
"BRIDE'S POOL ROAD, TAI PO",,840037.283,842662.289
"BRIDE'S POOL ROAD, TAI PO",,840179.239,842701.49
"BRIDE'S POOL ROAD, TAI PO",,840249.011,842671.317
"LOK MA CHAU, YUEN LONG",,841712.653,825729.431
"LOK MA CHAU, YUEN LONG",,841949.758,825478.162
"MAI PO, YUEN LONG",,841671.51,824574.096
"MAI PO, YUEN LONG",,841517.555,824361.447
"MAI PO, YUEN LONG",,841245.417,824146.771
"MAI PO, YUEN LONG",,841021.448,824076.9
"MAI PO, YUEN LONG",,840697.145,824059.034
"MAI PO, YUEN LONG",,840567.348,824014.961
"MAI PO, YUEN LONG",,840396.62,823936.68
"MAI PO, YUEN LONG",,840304.075,823845.665
"MAI PO, YUEN LONG",,840211.14,823493.126
"CHE KUNG MIU ROAD, SHA TIN",,826159.363,836994.845
"CHE KUNG MIU ROAD, SHA TIN",,826007.104,836753.962
SHA TIN TAU ROAD,,826115.996,837153.184
"SHA TIN CENTRE STREET, SHA TIN",,827059.741,837539.034
YUEN WO ROAD,,826922.919,837695.318
SAND MARTIN BRIDGE,,826956.206,837919.832
TAI PO ROAD,,826575.645,837201.172
TSUEN NAM ROAD,,826179.594,836635.973
"CHE KUNG MIU ROAD, SHA TIN",,826181.885,837421.708
SHA TAU KOK ROAD - LUNG YEUK TAU,,840479.723,833442.437
SHA TAU KOK ROAD - LUNG YEUK TAU,,840617.573,833643.207
SHA TAU KOK ROAD - LUNG YEUK TAU,,840803.833,833933.441
SHA TAU KOK ROAD - LUNG YEUK TAU,,840957.868,834143.542
SHA TAU KOK ROAD - LUNG YEUK TAU,,841176.164,834557.313
SHA TAU KOK ROAD - MA MEI HA,,841306.599,834870.473
SHA TAU KOK ROAD - MA MEI HA,,841394.186,835093.848
SHA TAU KOK ROAD - MA MEI HA,,841706.336,835455.144
SHA TAU KOK ROAD - MA MEI HA,,842134.66,836147.524
SHA TAU KOK ROAD - MA MEI HA,,842296.091,836245.658
SHA TAU KOK ROAD - MA MEI HA,,842397.716,836367.785
TUEN MUN HEUNG SZE WUI ROAD,,828873.451,815507.071
TUEN MUN HEUNG SZE WUI ROAD,,828753.872,815493.785
TUEN MUN HEUNG SZE WUI ROAD,,828152.32,815515.664
TUEN MUN HEUNG SZE WUI ROAD,,827947.89,815489.066
TUEN MUN HEUNG SZE WUI ROAD,,827742.644,815489.002
TUEN MUN HEUNG SZE WUI ROAD,,827617.334,815504.985
TUEN MUN HEUNG SZE WUI ROAD,,827351.93,815493.3
TUEN MUN HEUNG SZE WUI ROAD,,827206.025,815499.744
"HOI WING ROAD, TUEN MUN",,827026.642,815495.77
"HANG FU STREET, TUEN MUN",,826960.033,815316.484
"HANG FU STREET, TUEN MUN",,826856.46,815093.104
TUEN MUN HEUNG SZE WUI ROAD,,829032.905,815564.758
TUEN MUN HEUNG SZE WUI ROAD,,828311.756,815462.542
TAI PO ROAD,,833864.16,836205.312
TAI PO ROAD,,833674.171,836445.953
TAI PO ROAD - TAI PO KAU,,833478.029,836725.697
TAI PO ROAD - TAI PO KAU,,833321.366,836916.293
TAI PO ROAD,,833245.066,836919.391
TAI PO ROAD - TAI PO KAU,,833120.612,836852.006
TAI PO ROAD - TAI PO KAU,,832970.214,836948.507
TAI PO ROAD - TAI PO KAU,,832812.294,836965.053
TAI PO ROAD - TAI PO KAU,,832598.811,837197.282
TAI PO ROAD,,832573.968,837589.819
TAI PO ROAD,,832681.69,837826.423
TAI PO ROAD,,831449.027,838292.57
TAI PO ROAD,,831285.189,838227.366
TAI PO ROAD - TAI PO KAU,,831171.879,838268.149
TAI PO ROAD - TAI PO KAU,,831129.342,838422.757
TAI PO ROAD - TAI PO KAU,,831126.801,838546.986
TAI PO ROAD - MA LIU SHUI,,831002.007,838821.638
TAI PO ROAD,,830966.745,838944.671
CHINESE UNIVERSITY OF HK,,831050.258,839033.156
"DEEP BAY ROAD, YUEN LONG",,838366.88,817754.05
"DEEP BAY ROAD, YUEN LONG",,838277.826,817674.852
"DEEP BAY ROAD, YUEN LONG",,838198.873,817660.823
"DEEP BAY ROAD, YUEN LONG",,838029.546,817689.007
"DEEP BAY ROAD, YUEN LONG",,837826.8,817621.524
"DEEP BAY ROAD, YUEN LONG",,837704.058,817524.256
"DEEP BAY ROAD, YUEN LONG",,837559.762,817452.642
DEEP BAY ROAD,,837388.844,817235.066
CASTLE PEAK ROAD - TAI LAM,,825231.882,818605.156
"TSING FAT STREET, TUEN MUN",,825228.526,818288.496
CASTLE PEAK ROAD - TAI LAM,,825437.553,818051.855
CASTLE PEAK ROAD - SO KWUN WAT,,825629.577,817542.634
"CASTLE PEAK ROAD, TUEN MUN",,826584.108,816110.21
CASTLE PEAK ROAD - CASTLE PEAK BAY,,826688.167,816025.91
"HOI CHU ROAD, TUEN MUN",,827188.335,815343.693
"HOI WONG ROAD, TUEN MUN",,827199.901,815006.333
"HOI WING ROAD, TUEN MUN",,827170.131,815794.712
"CASTLE PEAK ROAD, TUEN MUN",,826290.548,816593.002
CASTLE PEAK ROAD - CASTLE PEAK BAY,,826085.237,816887.803
"HOI CHU ROAD, TUEN MUN",,827183.064,815403.63
"FUNG ON STREET, TUEN MUN",,827211.814,815201.838
"CASTLE PEAK ROAD, SO KWUN WAT",,825677.314,817511.086
"CASTLE PEAK ROAD, SO KWUN WAT",,826061.751,817241.141
CASTLE PEAK ROAD - CASTLE PEAK BAY,,826110.672,816777.01
"TSING YUNG STREET, TUEN MUN",,826457.845,816449.794
CASTLE PEAK ROAD - CASTLE PEAK BAY,,826541.118,816343.887
CASTLE PEAK ROAD - SO KWUN WAT,,825420.945,817689.669
CASTLE PEAK ROAD - SO KWUN WAT,,825849.101,817414.32
TING KOK ROAD,,835936.69,839349.13
"TING KOK ROAD, TAI PO",,836025.172,839405.84
"TING KOK ROAD, TAI PO",,836148.658,839471.935
"TING KOK ROAD, TAI PO",,836265.169,839558.44
"TUNG TSZ ROAD, TAI PO",,836515.301,839569.125
"TING KOK ROAD, TAI PO",,836657.261,839637.404
"TING KOK ROAD, TAI PO",,836785.066,839756.034
"TING KOK ROAD, TAI PO",,836951.398,839907.749
"TING KOK ROAD, TAI PO",,837130.468,840038.818
"TING KOK ROAD, TAI PO",,837118.874,840168.85
"TING KOK ROAD, TAI PO",,836994.319,840297.285
"TING KOK ROAD, TAI PO",,836859.128,840415.629
"TING KOK ROAD, TAI PO",,836760.747,840624.998
